algorithm,runtime_sec,memory,cost_sse,ari,nmi
[Guha2002] Streaming k-means,0.6499296296296296,12003.555555555555,1016805.738852963,0.6741788888888889,0.7440407407407407
[Charikar2003] PLS KMeans,769.4367666666666,607427.2592592592,1015546.7740718519,0.6637448148148147,0.738542962962963
KMeans(sk),0.24876222222222225,2863591.111111111,1061526.626065926,0.6559640740740741,0.7340518518518517
[Boutsidis2014] RandomProj Streaming,0.19252185185185183,3489.777777777778,1205304.9723533334,0.5689722222222222,0.6472077777777777
[Ailon2009] Streaming k-means,0.5737014814814815,12206.814814814816,2163849.8509596298,0.5508392592592593,0.6575240740740741
