seed,d,r,n_pairs,mean_ratio,std_ratio,min_ratio,max_ratio,median_ratio,within_eps_fraction,within_2eps_fraction
42,20,20,5000,0.946825385093689,0.25160595774650574,0.2825389802455902,1.970180630683899,0.92037034034729,0.9976,1.0
77,20,20,5000,0.8841739296913147,0.2364669144153595,0.2177870273590088,1.9968857765197754,0.8573157787322998,0.9972,1.0
211,20,20,5000,1.1285638809204102,0.30835455656051636,0.3353424668312073,2.1950740814208984,1.1217634677886963,0.9836,1.0
