seed,chunk_size,eps,c2,runtime_sec,memory,cost_sse,ari,nmi,quality,r,d,points_seen,avg_update_ms,cost_is_approx,stream_is_single_pass
42,1024,1.5,1.0,2.7791724998969585,1120.0,38569.604229681114,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,276.77763998508453,False,False
77,1024,1.5,1.0,0.22374149993993342,1120.0,36919.18476523814,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,20.836299983784556,False,False
211,1024,1.5,1.0,0.16954510007053614,1120.0,33907.15794653922,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,16.388599993661046,False,False
42,1024,1.5,2.0,0.19550170004367828,1536.0,34223.881200061194,0.6315261702128262,0.7621003790545885,0.7621003790545885,8,10,10000,19.013669970445335,False,False
77,1024,1.5,2.0,0.179794600000605,1536.0,33734.32537455583,0.6345915778471677,0.7587944369231661,0.7587944369231661,8,10,10000,17.444030032493174,False,False
211,1024,1.5,2.0,0.20139729999937117,1536.0,36291.37347043823,0.6098992504285717,0.7579475631042394,0.7579475631042394,8,10,10000,19.591580075211823,False,False
42,1024,1.5,3.0,0.18331970018334687,1744.0,33711.60156238232,0.6403590547753848,0.7659325699788908,0.7659325699788908,10,10,10000,17.788979993201792,False,False
77,1024,1.5,3.0,0.20574790006503463,1744.0,34456.84073312974,0.5766870736508752,0.7367688373836847,0.7367688373836847,10,10,10000,19.829169986769557,False,False
211,1024,1.5,3.0,0.1857843000907451,1744.0,33374.97948337731,0.6308785030858555,0.76148296699889,0.76148296699889,10,10,10000,18.037729943171144,False,False
42,1024,2.5,1.0,0.20155330002307892,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,19.295400008559227,False,False
77,1024,2.5,1.0,0.2074726999271661,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,19.95725000742823,False,False
211,1024,2.5,1.0,0.19375390000641346,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,18.725169985555112,False,False
42,1024,2.5,2.0,0.199036099947989,1016.0,34750.65152670763,0.6132209289521933,0.7496055413532995,0.7496055413532995,3,10,10000,19.3702100077644,False,False
77,1024,2.5,2.0,0.1717330999672413,1016.0,33364.22786462732,0.6335282527107347,0.7602645492549907,0.7602645492549907,3,10,10000,16.6652699932456,False,False
211,1024,2.5,2.0,0.17776730004698038,1016.0,38457.321001428914,0.6145604195259742,0.7694078457818037,0.7694078457818037,3,10,10000,16.794619988650084,False,False
42,1024,2.5,3.0,0.19437320018187165,1120.0,38569.604229681114,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,18.415019987151027,False,False
77,1024,2.5,3.0,0.16291569988243282,1120.0,36919.18476523814,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,15.529439970850945,False,False
211,1024,2.5,3.0,0.1390502001158893,1120.0,33907.15794653922,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,13.418689998798072,False,False
42,1024,3.5,1.0,0.14817789988592267,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,14.37877002172172,False,False
77,1024,3.5,1.0,0.1669286999385804,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,15.90814006049186,False,False
211,1024,3.5,1.0,0.15077490010298789,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,14.592429995536804,False,False
42,1024,3.5,2.0,0.14123390009626746,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,13.686310010962188,False,False
77,1024,3.5,2.0,0.1528302999213338,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,14.497439959086478,False,False
211,1024,3.5,2.0,0.1472129998728633,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,14.317489974200726,False,False
42,1024,3.5,3.0,0.14704660000279546,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,14.269919972866774,False,False
77,1024,3.5,3.0,0.13966539991088212,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,13.559299986809492,False,False
211,1024,3.5,3.0,0.13630360015667975,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,13.11330001335591,False,False
