seed,chunk_size,coreset_factor,repeat_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_size,max_chunk_summary_size,avg_update_ms,coreset_per_round,repetitions
42,1024,1.0,0.75,2.1689692999934778,21120.0,56791.09154057398,0.5956858088819841,0.7376867678763027,0.7376867678763027,240,24,216.59414999885485,3,7
77,1024,1.0,0.75,3.4279558999987785,21032.0,60037.135265487974,0.6362238024696004,0.7503497862035589,0.7503497862035589,239,24,342.4609999958193,3,7
211,1024,1.0,0.75,4.581645500002196,21120.0,58555.46681032391,0.5798105959638147,0.7523994107613133,0.7523994107613133,240,24,457.89818999764975,3,7
42,1024,1.0,1.0,6.0632322000165,21120.0,59543.35588150657,0.5689886604190261,0.7272778881316075,0.7272778881316075,240,24,605.9380899998359,3,10
77,1024,1.0,1.0,4.787650499987649,21032.0,52682.85455207655,0.5930104742046705,0.7477996207555729,0.7477996207555729,239,24,478.38660999550484,3,10
211,1024,1.0,1.0,4.785816599993268,21120.0,48114.858968725064,0.6411837271401462,0.7829944231959279,0.7829944231959279,240,24,478.3609100035392,3,10
42,1024,1.0,1.5,6.265725900011603,21120.0,49421.176358172015,0.6147816876118606,0.7668225133314674,0.7668225133314674,240,24,626.2823199969716,3,14
77,1024,1.0,1.5,6.294708800007356,21120.0,63181.42893321167,0.6013437867153908,0.7491600432472225,0.7491600432472225,240,24,629.2228000063915,3,14
211,1024,1.0,1.5,5.678789199999301,21120.0,61781.3435550446,0.574200638855198,0.747878347357452,0.747878347357452,240,24,567.6431700005196,3,14
42,1024,1.5,0.75,3.673494999995455,28160.0,79925.05042402942,0.5461216162336756,0.736253171926222,0.736253171926222,320,32,367.10029999376275,4,7
77,1024,1.5,0.75,3.5162959000153933,28160.0,53604.29651822163,0.6603887505242979,0.7887134337107924,0.7887134337107924,320,32,351.33922999957576,4,7
211,1024,1.5,0.75,3.468341900006635,28072.0,86368.08842120126,0.4599585120999825,0.6531017270023102,0.6531017270023102,319,32,346.5956600004574,4,7
42,1024,1.5,1.0,4.883969899994554,28160.0,53761.13284897171,0.5979804823308836,0.7509483538113475,0.7509483538113475,320,32,488.0842999962624,4,10
77,1024,1.5,1.0,5.222771200002171,28160.0,54793.77852425519,0.5954954334974593,0.7548318991262313,0.7548318991262313,320,32,521.7341200070223,4,10
211,1024,1.5,1.0,4.939320000004955,28072.0,64192.85025046359,0.5621586844902804,0.7271685517890099,0.7271685517890099,319,32,493.5788600007072,4,10
42,1024,1.5,1.5,8.20341630000621,28160.0,68714.71415668409,0.5314170740762977,0.694507706200554,0.694507706200554,320,32,820.1266999967629,4,14
77,1024,1.5,1.5,8.5255826000066,28160.0,62316.047041213045,0.6041054492146157,0.7428975205013194,0.7428975205013194,320,32,852.393920000759,4,14
211,1024,1.5,1.5,10.059456500021042,28160.0,46763.21047017544,0.6503377922670023,0.7853338219233377,0.7853338219233377,320,32,1005.7024200068554,4,14
42,1024,2.0,0.75,4.016117499995744,35112.0,79229.63973539817,0.5034224368691408,0.6583301978304923,0.6583301978304923,399,40,401.40967999759596,5,7
77,1024,2.0,0.75,3.5928304999833927,35112.0,91759.38898310545,0.506939609547068,0.6906487045636877,0.6906487045636877,399,40,359.220600000117,5,7
211,1024,2.0,0.75,3.3667503999895416,35112.0,65712.47162602542,0.668351700271436,0.7874518267251468,0.7874518267251468,399,40,336.5640499978326,5,7
42,1024,2.0,1.0,4.773557100008475,35112.0,64169.650031277095,0.5815346047106464,0.7287194176255117,0.7287194176255117,399,40,477.02433000376914,5,10
77,1024,2.0,1.0,3.2967732999823056,35200.0,68083.656848821,0.6033649898889533,0.7406202531846745,0.7406202531846745,400,40,329.60237999795936,5,10
211,1024,2.0,1.0,3.5066149000194855,35112.0,48697.23058065546,0.6157746370756885,0.7482846685856697,0.7482846685856697,399,40,350.5233700037934,5,10
42,1024,2.0,1.5,3.6814018999866676,35200.0,107200.62528110427,0.49102433812092033,0.6778729119572935,0.6778729119572935,400,40,368.0731599946739,5,14
77,1024,2.0,1.5,6.126275299990084,35112.0,67939.28191608016,0.5532406520364607,0.7180794884450735,0.7180794884450735,399,40,612.4934199993731,5,14
211,1024,2.0,1.5,6.74196860002121,35200.0,64202.262364063805,0.5824681840960062,0.7693123305917527,0.7693123305917527,400,40,674.0963300020667,5,14
