chunk_size,eps,c2,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,memory_mb_mean,memory_mb_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,r_mean,r_std,avg_update_ms_mean,avg_update_ms_std,state_bytes_mean,points_seen_mean,ari_mean,nmi_mean,quality_norm,runtime_norm,memory_norm,tradeoff_score
64,0.6,4.0,0.10896245006006211,0.002234527949552039,464.0,0.0,0.0004425048828125,0.0,1109.762335748048,0.0,1.0,0.0,6.0,0.0,24.26563756307587,1.0400303687881873,464.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0
64,0.3,8.0,0.10993939999025315,0.004037721264812668,464.0,0.0,0.0004425048828125,0.0,1109.762335748048,0.0,1.0,0.0,6.0,0.0,24.19255001586862,0.7852420916686733,464.0,200.0,1.0,1.0,0.0,0.0011127006945812461,0.0,-0.00027817517364531153
64,0.6,8.0,0.11131954996380955,0.005744323222909439,464.0,0.0,0.0004425048828125,0.0,1109.762335748048,0.0,1.0,0.0,6.0,0.0,24.61605001008138,1.9655093899546854,464.0,200.0,1.0,1.0,0.0,0.002684627552595549,0.0,-0.0006711568881488872
64,0.3,4.0,0.9869613000191748,1.24008583042041,464.0,0.0,0.0004425048828125,0.0,1109.762335748048,0.0,1.0,0.0,6.0,0.0,242.81397493905388,308.8325989351653,464.0,200.0,1.0,1.0,0.0,1.0,0.0,-0.25
