n,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,ari_mean,ari_std,nmi_mean,nmi_std,summary_points_mean,summary_points_std,levels_used_mean,levels_used_std,avg_update_ms_mean,points_seen_mean
5000,0.13669563333314727,0.0638374911611888,4224.0,0.0,16817.38005097323,289.45226812645785,0.7627032787807956,0.003883503943576054,0.6338930073622753,0.006870135724307837,0.7627032787807956,0.003883503943576054,48.0,0.0,1.0,0.0,58.80941666570531,5000.0
10000,0.16865233333373908,0.020069495542494924,8448.0,0.0,34395.09649874407,1647.665578328944,0.7622513209199546,0.003049516685773047,0.6231272421254871,0.016614755356228535,0.7622513209199546,0.003049516685773047,96.0,0.0,2.0,0.0,48.55131111051176,10000.0
25000,0.45743236666627735,0.05147716290234934,12672.0,0.0,84622.28276777886,517.2061230529305,0.7593636855003725,0.003216017137343823,0.6293358478034953,0.005199857931182999,0.7593636855003725,0.003216017137343823,144.0,0.0,3.0,0.0,60.71119999944043,25000.0
50000,0.8984162333338949,0.11335502230973744,12672.0,0.0,168978.5387008419,519.4013665063522,0.7566417658754316,0.007538745520908601,0.6255103263455856,0.015939374517114798,0.7566417658754316,0.007538745520908601,144.0,0.0,3.0,0.0,65.86769487190536,50000.0
100000,2.0041756666651054,0.06867092517651702,12672.0,0.0,341640.5831002204,14080.196917800506,0.7563744952328882,0.0018081004310434303,0.6221382793398312,0.003223759355442547,0.7563744952328882,0.0018081004310434303,144.0,0.0,3.0,0.0,76.18096799987445,100000.0
