seed,n,d,k,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,50000,10,8,4096,4.0,0.7551583999993454,8448.0,173167.75448695125,0.6060275219033254,0.7481749425996874,0.7481749425996874,96,32,3,50000,52.80479230798217
77,50000,10,8,4096,4.0,1.1776441000001796,8448.0,167510.3497422351,0.616831033142871,0.7525858129899778,0.7525858129899778,96,32,3,50000,84.95119230736655
211,50000,10,8,4096,4.0,1.0794578000022739,8448.0,168572.33935535204,0.6041837822292613,0.7463889753297147,0.7463889753297147,96,32,3,50000,78.08722307639144
42,50000,10,8,4096,6.0,1.0514282000003732,12672.0,168671.11560136965,0.6077204278912538,0.748269274953134,0.748269274953134,144,48,3,50000,76.94780769172492
77,50000,10,8,4096,6.0,0.9383452000001853,12672.0,169578.22789347262,0.638492242019307,0.7628916806041843,0.7628916806041843,144,48,3,50000,68.72080769272333
211,50000,10,8,4096,6.0,1.02232770000046,12672.0,168686.2726076834,0.6303183091261959,0.7587643420689766,0.7587643420689766,144,48,3,50000,74.34725384658893
42,50000,10,8,4096,8.0,1.2475525999980164,16896.0,167131.59531300003,0.6146760115789303,0.7510617942494754,0.7510617942494754,192,64,3,50000,92.35882307621068
77,50000,10,8,4096,8.0,1.309461500000907,16896.0,167330.90355236092,0.6206103372302281,0.7541841883280928,0.7541841883280928,192,64,3,50000,95.90636153790491
211,50000,10,8,4096,8.0,1.397365400000126,16896.0,167691.69532043798,0.6318473945228726,0.7595343780518795,0.7595343780518795,192,64,3,50000,103.06240000024374
42,50000,10,8,4096,10.0,1.738481699998374,21120.0,167880.35004324722,0.633528386904936,0.7601999728066466,0.7601999728066466,240,80,3,50000,128.32380000019418
77,50000,10,8,4096,10.0,2.0838771000017005,21120.0,168092.79785288987,0.6114909958080171,0.750031177231518,0.750031177231518,240,80,3,50000,154.78415384551715
211,50000,10,8,4096,10.0,2.4265460000024177,21120.0,168423.36565502794,0.60241878710803,0.7457344738480204,0.7457344738480204,240,80,3,50000,181.31349230763868
42,50000,10,8,4096,12.0,1.8365508999995654,25344.0,167626.8705040613,0.6190582883284592,0.7533585290754271,0.7533585290754271,288,96,3,50000,137.22277692403833
77,50000,10,8,4096,12.0,1.5131123999999545,25344.0,167458.5538697865,0.6304828584755744,0.758723071985385,0.758723071985385,288,96,3,50000,111.50683846146701
211,50000,10,8,4096,12.0,1.5685469999989436,25344.0,167394.22369573027,0.62320481313045,0.755453801951808,0.755453801951808,288,96,3,50000,117.19872307674869
