seed,chunk_size,eps,c2,runtime_sec,memory,cost_sse,ari,nmi,quality,r,d,points_seen,avg_update_ms,cost_is_approx,stream_is_single_pass
42,1024,1.5,1.0,0.11268299998482689,1120.0,38569.604229681114,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,10.621860000537708,False,False
77,1024,1.5,1.0,0.021798300003865734,1120.0,36919.18476523814,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,1.8512699927669019,False,False
211,1024,1.5,1.0,0.012056000006850809,1120.0,33907.15794653922,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,1.002320001134649,False,False
42,1024,1.5,2.0,0.012737700017169118,1536.0,34223.881200061194,0.6315261702128262,0.7621003790545885,0.7621003790545885,8,10,10000,0.9048399922903627,False,False
77,1024,1.5,2.0,0.019603799999458715,1536.0,33734.32537455583,0.6345915778471677,0.7587944369231661,0.7587944369231661,8,10,10000,1.5944300015689805,False,False
211,1024,1.5,2.0,0.025024800008395687,1536.0,36291.37347043823,0.6098992504285717,0.7579475631042394,0.7579475631042394,8,10,10000,2.091989992186427,False,False
42,1024,1.5,3.0,0.04147320002084598,1744.0,33711.60156238232,0.6403590547753848,0.7659325699788908,0.7659325699788908,10,10,10000,3.4156399953644723,False,False
77,1024,1.5,3.0,0.029164799983846024,1744.0,34456.84073312974,0.5766870736508752,0.7367688373836847,0.7367688373836847,10,10,10000,2.3746599967125803,False,False
211,1024,1.5,3.0,0.016979800013359636,1744.0,33374.97948337731,0.6308785030858555,0.76148296699889,0.76148296699889,10,10,10000,1.4378699968801811,False,False
42,1024,2.5,1.0,0.012065399991115555,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,0.9506700036581606,False,False
77,1024,2.5,1.0,0.014832799992291257,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,1.150910003343597,False,False
211,1024,2.5,1.0,0.012084499991033226,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,0.9465499955695122,False,False
42,1024,2.5,2.0,0.015990300016710535,1016.0,34750.65152670763,0.6132209289521933,0.7496055413532995,0.7496055413532995,3,10,10000,1.32721999543719,False,False
77,1024,2.5,2.0,0.042472500004805624,1016.0,33364.22786462732,0.6335282527107347,0.7602645492549907,0.7602645492549907,3,10,10000,3.9460500003769994,False,False
211,1024,2.5,2.0,0.013530199998058379,1016.0,38457.321001428914,0.6145604195259742,0.7694078457818037,0.7694078457818037,3,10,10000,1.117729998077266,False,False
42,1024,2.5,3.0,0.021936299977824092,1120.0,38569.604229681114,0.5703242966709828,0.713342732409715,0.713342732409715,4,10,10000,1.7232500074896961,False,False
77,1024,2.5,3.0,0.03817750001326203,1120.0,36919.18476523814,0.5599989952152271,0.7361961116658904,0.7361961116658904,4,10,10000,3.2859699975233525,False,False
211,1024,2.5,3.0,0.021594099991489202,1120.0,33907.15794653922,0.6246914393498653,0.7562734870840364,0.7562734870840364,4,10,10000,1.6486999957123771,False,False
42,1024,3.5,1.0,0.03663990000495687,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,2.912369999103248,False,False
77,1024,3.5,1.0,0.03256719998898916,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,2.713379997294396,False,False
211,1024,3.5,1.0,0.022553499991772696,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,1.7603599932044744,False,False
42,1024,3.5,2.0,0.037827500025741756,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,3.1873100029770285,False,False
77,1024,3.5,2.0,0.030424199998378754,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,2.5337900005979463,False,False
211,1024,3.5,2.0,0.019390699977520853,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,1.6588399972533807,False,False
42,1024,3.5,3.0,0.011126000026706606,912.0,116259.40985695596,0.3268362930917943,0.5189462316411312,0.5189462316411312,2,10,10000,0.8902200061129406,False,False
77,1024,3.5,3.0,0.020486599998548627,912.0,99993.44949886858,0.34001510563744364,0.5173027484408139,0.5173027484408139,2,10,10000,1.4728500071214512,False,False
211,1024,3.5,3.0,0.024179000000003725,912.0,33789.994118803545,0.6183324762130785,0.7554457221894585,0.7554457221894585,2,10,10000,2.0713600009912625,False,False
