seed,chunk_size,m_factor,runtime_sec,memory,cost_sse,ari,nmi,quality,summary_points,m_summary,levels_used,points_seen,avg_update_ms
42,4096,1.0,0.24445799994282424,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,67.20966667247315
77,4096,1.0,0.14187239995226264,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,37.593233243872724
211,4096,1.0,0.13075629994273186,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,34.47713330388069
42,4096,2.0,0.13562189997173846,5632.0,21635.56788605897,0.4620056294311731,0.692792175128664,0.692792175128664,64,32,2,10000,35.22813335681955
77,4096,2.0,0.1397903999313712,5632.0,22107.64004143318,0.46074054475381077,0.6884347565075493,0.6884347565075493,64,32,2,10000,37.69066658181449
211,4096,2.0,0.1426740000024438,5632.0,22485.03806940442,0.453558324558412,0.6858682045762353,0.6858682045762353,64,32,2,10000,38.34816666009525
42,4096,3.0,0.15833649993874133,7392.0,22284.21035843258,0.46322039203635335,0.6926489866988904,0.6926489866988904,84,42,2,10000,43.95693331025541
77,4096,3.0,0.13207389996387064,7392.0,21640.31043078137,0.4680026634689366,0.6864017242763913,0.6864017242763913,84,42,2,10000,35.20219998123745
211,4096,3.0,0.15619000000879169,7392.0,22165.802945444037,0.47247158967436154,0.6895866968097418,0.6895866968097418,84,42,2,10000,42.37006658998629
42,4096,4.0,0.18978020013310015,9856.0,21160.021562862083,0.4592075136657789,0.6914602834094961,0.6914602834094961,112,56,2,10000,50.88323339199027
77,4096,4.0,0.2201938999351114,9856.0,21516.18951949234,0.4457333563194137,0.6895274300276395,0.6895274300276395,112,56,2,10000,61.47880006271104
211,4096,4.0,0.2738328999839723,9856.0,22336.440489474026,0.4600957995218347,0.6853540967407352,0.6853540967407352,112,56,2,10000,80.57076670229435
42,4096,5.0,0.27455520001240075,12320.0,21000.86827416513,0.44812471564116324,0.6885461572725671,0.6885461572725671,140,70,2,10000,78.27803337325652
77,4096,5.0,0.2502021000254899,12320.0,22309.830645857342,0.45640777919515724,0.6842528581750834,0.6842528581750834,140,70,2,10000,71.5358667075634
211,4096,5.0,0.26866300008259714,12320.0,21167.598182504033,0.45745147290288174,0.6937126277826859,0.6937126277826859,140,70,2,10000,78.97956669330597
