chunk_size,m_factor,runtime_sec_mean,runtime_sec_std,memory_mean,memory_std,cost_sse_mean,cost_sse_std,quality_mean,quality_std,summary_points_mean,summary_points_std,m_summary_mean,levels_used_mean,avg_update_ms_mean,avg_update_ms_std,points_seen_mean,ari_mean,nmi_mean
4096,1.0,0.7932683999339739,1.1465485159019788,5632.0,0.0,22076.081998965525,425.61347562257913,0.6890317120708161,0.003500372696029909,64.0,0.0,32.0,2.0,254.37965559669667,381.71383345789695,10000.0,0.45876816624779865,0.6890317120708161
4096,2.0,0.13791079997705916,0.004796435383254097,5632.0,0.0,22076.081998965525,425.61347562257913,0.6890317120708161,0.003500372696029909,64.0,0.0,32.0,2.0,37.236833349905076,1.5330868152724169,10000.0,0.45876816624779865,0.6890317120708161
4096,3.0,0.14395633332120875,0.011097958166746177,7392.0,0.0,22030.107911552663,342.7267656229865,0.6895458025950078,0.003123831973152699,84.0,0.0,42.0,2.0,37.67782224652668,3.3250754678420424,10000.0,0.4678982150598838,0.6895458025950078
4096,4.0,0.17067033339602253,0.001012094852925696,9856.0,0.0,21670.88385727615,603.2728456755498,0.6887806033926237,0.0031208478696525778,112.0,0.0,56.0,2.0,47.99990001548495,0.39593467285106104,10000.0,0.4550122231690091,0.6887806033926237
4096,5.0,0.20906003331765532,0.007003103789956319,12320.0,0.0,21492.76570084217,712.4928482891355,0.6888372144101121,0.004736596452118029,140.0,0.0,70.0,2.0,60.61543330239753,2.4081248554744104,10000.0,0.4539946559130674,0.6888372144101121
